epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1699.86,1.35121,0.99138,1.18263,0.87592,0.85103,0.89531,0.65711,0.9966,0.59407,1.02777,0.00333255,0.00333255,0.00333255
2,3330.36,1.18576,0.73343,1.09115,0.88275,0.8512,0.89906,0.66998,0.94417,0.60195,1.01885,0.00659989,0.00659989,0.00659989
3,4833.91,1.18941,0.74751,1.10356,0.88543,0.85624,0.90214,0.68433,0.89439,0.58063,1.0078,0.00980123,0.00980123,0.00980123
4,6339.05,1.17091,0.73359,1.10307,0.88272,0.87147,0.90956,0.7023,0.85243,0.55756,0.98469,0.009703,0.009703,0.009703
5,7843.34,1.11637,0.68164,1.0819,0.88899,0.87242,0.90283,0.71569,0.79955,0.52486,0.97606,0.009604,0.009604,0.009604
6,9346.57,1.08488,0.65162,1.06847,0.89849,0.87738,0.91395,0.72444,0.80628,0.49912,0.96498,0.009505,0.009505,0.009505
7,10851,1.05682,0.62882,1.05866,0.89685,0.87728,0.91075,0.73073,0.76925,0.50245,0.95921,0.009406,0.009406,0.009406
8,12355.4,1.03832,0.61187,1.04777,0.90174,0.87932,0.91586,0.74118,0.75993,0.4816,0.9701,0.009307,0.009307,0.009307
9,13859.4,1.02515,0.60114,1.04048,0.90541,0.88422,0.91843,0.7464,0.74468,0.47527,0.9539,0.009208,0.009208,0.009208
10,15363.8,1.0102,0.58809,1.03422,0.90546,0.88748,0.91885,0.74996,0.73557,0.4649,0.95397,0.009109,0.009109,0.009109
11,16868.6,0.99897,0.57977,1.03129,0.90939,0.88631,0.92083,0.75524,0.72422,0.45535,0.95379,0.00901,0.00901,0.00901
12,18373,0.9924,0.57328,1.02638,0.91095,0.88671,0.91953,0.75386,0.72305,0.4575,0.95204,0.008911,0.008911,0.008911
13,19875.7,0.97918,0.56512,1.02277,0.91151,0.88956,0.9215,0.75857,0.71469,0.45047,0.94643,0.008812,0.008812,0.008812
